"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","CMDB","删除配置项","0","1","2","0","0"
"","CMDB","删除字典","2","0","0","0","0"
"","CMDB","编辑字典","2","0","0","0","0"
"","CMDB","编辑配置项类型","0","0","4","0","0"
"","CMDB","创建配置项类型","0","0","3","0","0"
"","CMDB","删除配置项类型","1","0","2","0","0"
"","CMDB","添加配置项类型属性","0","0","3","0","0"
"","CMDB","编辑配置项","0","0","2","0","0"
"","CMDB","创建配置项","0","0","2","0","0"
"","CMDB","导入配置项","1","0","0","0","0"
"","CMDB","创建字典","2","0","0","0","0"
"","CMDB","创建配置项间关系","0","0","1","0","0"
"","CMDB","导出配置项","0","1","0","0","0"
"","CMDB","创建配置类型间关系","0","0","1","0","0"
